,line,title,image_url,scraped_at,image_name,next_bid_auction,price_buy_now,ends_on,time_remaining,seconds_remaining,sale_type
418,duplo,LEGO Duplo Grosse Steinebox,https://img.ricardostatic.ch/t_1000x750/pl/1148781452/2/1/lego-duplo-grosse-steinebox.jpg,2020-12-28 10:10:40,418_legosets.jpg,20.0,,2020-12-28 14:55:00,0 days 04:44:20,17060,auction
419,duplo,"Lego Duplo 1,6kg",https://img.ricardostatic.ch/t_1000x750/pl/1150849000/1/1/lego-duplo-16kg.jpg,2020-12-28 10:10:44,419_legosets.jpg,24.0,40.0,2020-12-29 11:10:00,1 days 00:59:16,3556,both
420,duplo,Riesige Lego Duplo Sammlung,https://img.ricardostatic.ch/t_1800x1350/pl/1151670358/1/1/,2020-12-28 10:10:48,420_legosets.jpg,,350.0,2021-01-04 11:22:00,7 days 01:11:12,4272,buy_now
421,duplo,LEGO Duplo 5603 - Feuerwehr-Hauptmann,https://img.ricardostatic.ch/t_1000x750/pl/1148789366/2/1/lego-duplo-5603-feuerwehr-hauptmann.jpg,2020-12-28 10:10:52,421_legosets.jpg,8.0,,2020-12-28 15:47:00,0 days 05:36:08,20168,auction
422,duplo,LEGO Duplo 4963 Polizeistreife,https://img.ricardostatic.ch/t_1000x750/pl/1148781704/2/1/lego-duplo-4963-polizeistreife.jpg,2020-12-28 10:10:56,422_legosets.jpg,10.0,,2020-12-28 14:57:00,0 days 04:46:04,17164,auction
423,duplo,Lego Duplo Polizei L72,https://img.ricardostatic.ch/t_1800x1350/pl/1147877294/0/1/,2020-12-28 10:10:59,423_legosets.jpg,14.0,,2020-12-31 04:56:00,2 days 18:45:01,67501,auction
424,duplo,Lego Duplo Zirkus Set 5593 komplett,https://img.ricardostatic.ch/t_1800x1350/pl/1136583974/14/1/,2020-12-28 10:11:03,424_legosets.jpg,,59.9,2021-01-02 16:47:00,5 days 06:35:57,23757,buy_now
425,duplo,Lego Duplo Zoo L76,https://img.ricardostatic.ch/t_1800x1350/pl/1147870956/0/1/,2020-12-28 10:11:07,425_legosets.jpg,12.0,,2020-12-31 10:27:00,3 days 00:15:53,953,auction
426,duplo,Duplo Piratenschiff 7880 inkl. Anleitung,https://img.ricardostatic.ch/t_1800x1350/pl/1146363768/4/1/,2020-12-28 10:11:11,426_legosets.jpg,119.0,,2020-12-31 11:56:00,3 days 01:44:49,6289,auction
427,duplo,LEGO Duplo - Baby Junge blauer Strampler,https://img.ricardostatic.ch/t_1800x1350/pl/1146265760/0/1/,2020-12-28 10:11:15,427_legosets.jpg,14.9,,2021-01-03 20:21:00,6 days 10:09:45,36585,auction
428,duplo,Lego Duplo 289 Teile,https://img.ricardostatic.ch/t_1800x1350/pl/1150905830/0/1/,2020-12-28 10:11:18,428_legosets.jpg,56.0,80.0,2020-12-30 11:16:00,2 days 01:04:42,3882,both
429,duplo,Lego Duplo Gelände - Quad 5645,https://img.ricardostatic.ch/t_1800x1350/pl/1146254552/2/1/,2020-12-28 10:11:22,429_legosets.jpg,10.0,,2021-01-03 15:22:00,6 days 05:10:38,18638,auction
